"Entry","Positive","Strong","Active","Role","Negative","Weak","Passive","Object"
"DECENCY","Positiv",,,,,,,
"DECENT","Positiv",,,,,,,
"DECENTRALIZE",,,,,,,,
"DECEPTION",,,"Active",,"Negativ",,,
"DECEPTIVE",,,,,"Negativ",,,
"DECIDE#1",,"Strong","Active",,,,,
"DECIDE#2",,"Strong",,,,,,
"DECIDE#3",,"Strong",,,,,,
"DECIMAL",,,,,,,,
"DECIPHER","Positiv",,"Active",,,,,
"DECISION",,"Strong","Active",,,,,
"DECISIVE",,"Strong","Active",,,,,
"DECK",,,,,,,,"Object"
"DECLARATION",,"Strong",,,,,,
"DECLARE",,"Strong",,,,,,
"DECLINE#1",,,,,"Negativ","Weak","Passive",
"DECLINE#2",,,,,"Negativ","Weak","Passive",
"DECOMPOSE",,,,,"Negativ",,"Passive",
"DECORATE","Positiv",,"Active",,,,,
"DECORATION","Positiv",,,,,,,"Object"
"DECORATIVE","Positiv",,,,,,,
"DECREASE#1",,,,,"Negativ","Weak","Passive",
"DECREASE#2",,,,,"Negativ","Weak","Passive",
"DECREE",,,,,,,,
"DEDICATE#1","Positiv","Strong",,,,,,
"DEDICATE#2","Positiv","Strong",,,,,,
"DEDICATION","Positiv","Strong",,,,,,
"DEDUCE","Positiv",,"Active",,,,,
"DEDUCT",,,"Active",,,,,
"DEEM",,,,,,,"Passive",
"DEEP#1",,"Strong",,,,,,
"DEEP#2",,"Strong",,,,,,
"DEEP#3",,"Strong",,,,,,
"DEEP#4",,"Strong",,,,,,
"DEEPEN",,"Strong","Active",,,,,
"DEER",,,,,,,,
"DEFAME",,,"Active",,"Negativ",,,
"DEFAULT",,,"Active",,"Negativ",,,
"DEFEAT#1",,,,,"Negativ",,,
"DEFEAT#2",,"Strong","Active",,"Negativ",,,
"DEFECATE",,,,,,,,
"DEFECT",,,,,"Negativ","Weak",,
"DEFECTIVE",,,,,"Negativ","Weak",,
"DEFENCE",,,,,,,,
"DEFEND","Positiv","Strong","Active",,,,,
"DEFENDANT",,,,"Role","Negativ","Weak",,
"DEFENDER","Positiv","Strong","Active","Role",,,,
"DEFENSE","Positiv","Strong","Active",,,,,
"DEFENSE-COMMUNITY",,,,,,,,
"DEFENSIVE",,,,,"Negativ","Weak","Passive",
"DEFER",,,,,,,"Passive",
"DEFERENCE","Positiv",,,,,,,
"DEFIANCE",,"Strong",,,"Negativ",,,
"DEFIANT",,"Strong",,,"Negativ",,,
"DEFICIENCY",,,,,"Negativ","Weak",,
"DEFICIENT",,,,,"Negativ","Weak",,
"DEFICIT",,,,,"Negativ","Weak",,
"DEFILE",,,"Active",,"Negativ",,,
"DEFINE",,,,,,,,
"DEFINITE",,"Strong",,,,,,
"DEFINITELY",,,,,,,,
"DEFINITION",,,,,,,,
"DEFINITIVE","Positiv","Strong",,,,,,
"DEFRAY",,,,,,,,
"DEFY",,"Strong","Active",,"Negativ",,,
"DEGENERATE",,,,,"Negativ","Weak","Passive",
"DEGRADE",,,"Active",,"Negativ",,,
"DEGREE#1",,,,,,,,
"DEGREE#2",,,,,,,,
"DEGREE#3",,,,,,,,
"DEJECT",,,,,,,,
"DEJECTED",,,,,"Negativ","Weak",,
"DELAY#1",,,,,"Negativ","Weak","Passive",
"DELAY#2",,,,,"Negativ","Weak","Passive",
"DELEGATE",,,,"Role",,,,
"DELEGATION",,,,,,,,
"DELEWARE",,,,,,,,
"DELIBERATE#1",,"Strong","Active",,,,,
"DELIBERATE#2",,"Strong","Active",,,,,
"DELIBERATION",,,,,,,,
"DELICACY","Positiv",,,,,,,
"DELICATE","Positiv",,,,,"Weak",,
"DELIGHT#1","Positiv",,,,,,,
"DELIGHT#2","Positiv",,,,,,,
"DELIGHTFUL","Positiv",,,,,,,
"DELINQUENCY",,,,,"Negativ","Weak",,
"DELINQUENT",,,,,"Negativ","Weak",,
"DELIRIUM",,,,,"Negativ","Weak",,
"DELIVER",,"Strong","Active",,,,,
"DELIVERY",,"Strong","Active",,,,,
"DELUDE#1",,,,,,,,
"DELUDE#2",,,,,,,,
"DELUGE",,"Strong",,,"Negativ",,,
"DELUSION",,,,,"Negativ","Weak",,
"DEMAND#1",,"Strong",,,,,,
"DEMAND#2",,"Strong","Active",,,,,
"DEMAND#3",,"Strong","Active",,,,,
"DEMAND#4",,"Strong","Active",,,,,
"DEMEAN",,,"Active",,"Negativ",,,
"DEMISE",,,,,"Negativ","Weak","Passive",
"DEMO",,,,,,,,
"DEMOBILIZATION",,,,,,,,
"DEMOBILIZE",,,,,,,,
"DEMOCRACY",,,,,,,,
"DEMOCRAT",,,,"Role",,,,
"DEMOCRATIC#1",,,,,,,,
"DEMOCRATIC#2",,,,,,,,
"DEMOCRATIZATION",,,,,,,,
"DEMOLISH",,"Strong","Active",,"Negativ",,,
"DEMON",,,,,"Negativ",,,
"DEMONSTRATE",,"Strong","Active",,,,,
"DEMONSTRATION#1",,"Strong","Active",,,,,
"DEMONSTRATION#2",,"Strong","Active",,,,,
"DEMORALISE#1",,,,,,,,
"DEMORALIZE",,"Strong",,,"Negativ",,,
"DENIAL",,,,,"Negativ",,,
"DENMARK",,,,,,,,
"DENOMINATIONAL",,,,,,,,
"DENOTE",,,,,,,,
"DENOUNCE",,,"Active",,"Negativ",,,
"DENSE",,"Strong",,,,,,
"DENSITY",,"Strong",,,,,,
"DENT",,,"Active",,"Negativ",,,
"DENTIST",,,,"Role",,,,
"DENUNCIATION",,,,,,,,
"DENY",,,,,"Negativ",,,
"DEPART",,,"Active",,,,,
"DEPARTMENT#1",,,,,,,,
"DEPARTMENT#2",,,,,,,,
"DEPARTURE",,,"Active",,,,,
"DEPEND#1",,,,,,"Weak","Passive",
"DEPEND#2",,,,,,"Weak","Passive",
"DEPENDABILITY","Positiv","Strong",,,,,,
"DEPENDABLE","Positiv","Strong",,,,,,
"DEPENDENCE",,,,,,"Weak","Passive",
"DEPENDENCY",,,,,,,,
"DEPENDENT",,,,,"Negativ","Weak","Passive",
"DEPICT",,,,,,,,
"DEPLETE",,,,,"Negativ",,,
"DEPLORABLE",,,,,"Negativ",,,
"DEPLORE",,,,,"Negativ",,"Passive",
"DEPLOY",,"Strong","Active",,,,,
"DEPOSE",,,"Active",,"Negativ",,,
"DEPOSITION",,,"Active",,,,,
"DEPRAVED",,,,,"Negativ",,,
"DEPRECIATE",,,,,"Negativ","Weak","Passive",
"DEPRECIATION",,,,,"Negativ",,"Passive",
"DEPRESS#1",,,,,"Negativ","Weak","Passive",
"DEPRESS#2",,,,,"Negativ",,,
"DEPRESS#3",,,,,"Negativ",,,
"DEPRESSION#1",,,,,"Negativ","Weak",,
"DEPRESSION#2",,,,,"Negativ","Weak",,
"DEPRIVATION",,,,,,,,
"DEPRIVE",,"Strong","Active",,"Negativ",,,
"DEPTH",,"Strong",,,,,,
"DEPUTY",,,,"Role",,,,
"DERBY",,,,,,,,
"DERIDE",,,"Active",,"Negativ",,,
"DERISION",,,,,"Negativ",,,
"DERISIVE",,,,,"Negativ",,,
"DERIVE",,,"Active",,,,,
"DEROGATORY",,,,,"Negativ",,,
"DESCEND",,,,,,"Weak",,
"DESCENDANT",,,,,,,,
"DESCRIBE",,,,,,,,
"DESCRIPTION",,,,,,,,
"DESCRIPTIVE",,,,,,,,
"DESCRY","Positiv",,"Active",,,,,
"DESEGREGATION",,,,,,,,
"DESERT#1",,,,,,,,
"DESERT#2",,,,,"Negativ",,,
"DESERT#3",,,,,,,,
"DESERT#4",,,,,"Negativ","Weak","Passive",
"DESERTION",,,,,"Negativ",,,
"DESERVE","Positiv",,,,,,,
"DESERVEDLY","Positiv","Strong",,,,,,
"DESIGN#1",,,,,,,,
"DESIGN#2",,,"Active",,,,,
"DESIGNATE#1",,,"Active",,,,,
"DESIGNATE#2",,"Strong","Active",,,,,
"DESIGNER",,,,"Role",,,,
"DESIRABLE","Positiv",,,,,,,
"DESIRE#1",,,,,,,"Passive",
"DESIRE#2",,,,,,,"Passive",
"DESIRE#3",,,,,"Negativ",,"Passive",
"DESIROUS","Positiv",,,,,,,
"DESK",,,,,,,,"Object"
"DESOLATE",,,,,"Negativ","Weak",,
"DESOLATION",,,,,"Negativ",,,
"DESPAIR#1",,,,,"Negativ","Weak","Passive",
"DESPAIR#2",,,,,"Negativ","Weak","Passive",
"DESPERATE",,,,,"Negativ","Weak",,
"DESPERATION",,,,,"Negativ",,,
"DESPICABLE",,,,,"Negativ",,,
"DESPISE#1",,"Strong",,,"Negativ",,,
"DESPISE#2",,"Strong",,,"Negativ",,,
"DESPITE",,,,,,,,
"DESPONDENT",,,,,,,,
"DESPOT",,,,,,,,
"DESPOTISM",,,,,,,,
"DESSERT",,,,,,,,
"DESTINATION",,,,,,,,
"DESTINE",,,,,,,,
"DESTINY",,"Strong",,,,,,
"DESTITUTE",,,,,"Negativ","Weak",,
"DESTROY",,"Strong","Active",,"Negativ",,,
"DESTROYER",,,,,,,,"Object"
"DESTRUCT",,,,,,,,
"DESTRUCTION",,,"Active",,"Negativ",,,
"DESTRUCTIVE",,"Strong","Active",,"Negativ",,,
"DETACH",,,,,,,,
"DETACHMENT",,,,,"Negativ",,,
"DETAIL",,,,,,,,
"DETAIN",,,"Active",,"Negativ",,,
"DETECT#1",,,"Active",,,,,
"DETECT#2",,,"Active",,,,,
"DETECTION",,,"Active",,,,,
"DETECTIVE",,,"Active","Role",,,,
"DETER",,"Strong","Active",,"Negativ",,,
"DETERMINATION",,"Strong","Active",,,,,
"DETERMINE#1",,"Strong","Active",,,,,
"DETERMINE#2",,"Strong","Active",,,,,
"DETERMINE#3",,"Strong","Active",,,,,
"DETERMINISTIC",,,,,,,,
"DETERRED",,,,,,,,
"DETERRENT",,"Strong",,,"Negativ",,,
"DETEST",,,"Active",,"Negativ",,,
"DETESTABLE",,,,,"Negativ",,,
"DETRACT",,,"Active",,"Negativ",,,
"DETRIMENTAL",,"Strong",,,"Negativ",,,
"DEVASTATE",,"Strong","Active",,"Negativ",,,
"DEVASTATION",,,,,"Negativ",,,
"DEVELOP",,"Strong","Active",,,,,
"DEVELOPMENT",,"Strong","Active",,,,,
"DEVIANT",,,,,,,,
"DEVIATE",,,"Active",,"Negativ",,,
"DEVIATION",,,,,"Negativ",,,
"DEVICE",,,,,,,,"Object"
"DEVIL",,,,"Role","Negativ",,,
"DEVILISH",,,,,"Negativ",,,
"DEVIOUS",,,,,"Negativ",,,
"DEVISE",,,,,,,,
"DEVOID",,,,,"Negativ","Weak",,
"DEVOLVE",,,,,,,,
"DEVOTE#1","Positiv",,"Active",,,,,
"DEVOTE#2","Positiv",,,,,,,
"DEVOTION","Positiv",,,,,,"Passive",
"DEVOUT","Positiv","Strong",,,,,,
"DEXTERITY","Positiv","Strong",,,,,,
"DIABOLIC",,,,,"Negativ",,,
"DIABOLICAL",,,,,"Negativ",,,
"DIAGNOSIS",,,,,,,,
"DIALECT",,,,,,,,
"DIALOGUE",,,,,,,,
"DIAMETER",,,,,,,,
"DICE",,,,,,,,"Object"
"DICTATE",,,"Active",,"Negativ",,,
"DICTATOR",,"Strong",,"Role",,,,
"DICTATORIAL",,,"Active",,"Negativ",,,
"DICTATORSHIP",,"Strong",,,,,,
"DICTION",,,,,,,,
"DICTIONARY",,,,,,,,"Object"
"DID#1",,,,,,,,
"DIE",,,,,,,,
"DIET#1",,,,,,,,
"DIET#2",,,,,,,,
"DIFFER",,,"Active",,"Negativ",,,
"DIFFERENCE",,,,,,,,
"DIFFERENT#1",,,,,,,,
"DIFFERENT#2",,,,,,,,
"DIFFERENTIAL",,,,,,,,
"DIFFERENTIATE",,,,,,,,
"DIFFICULT",,,,,"Negativ",,,
"DIFFICULTY",,,,,"Negativ",,,
"DIG#1","Positiv",,,,,,,
"DIG#2",,,"Active",,,,,
"DIGITAL",,,,,,,,
"DIGNIFIED","Positiv","Strong",,,,,,
"DIGNIFY","Positiv",,"Active",,,,,
"DIGNITY","Positiv","Strong",,,,,,
"DILEMMA",,,,,"Negativ",,,
"DILIGENCE",,,,,,,,
"DILIGENT","Positiv","Strong","Active",,,,,
"DIM#1",,,,,"Negativ",,,
"DIM#2",,,,,"Negativ",,,
"DIMENSION",,,,,,,,
"DIMINISH",,,,,,"Weak","Passive",
"DIN",,"Strong",,,"Negativ",,,
"DING",,,,,,,,
"DINNER",,,,,,,,"Object"
"DIP",,,"Active",,,,,
"DIPLOMACY",,,,,,,,
"DIPLOMATIC",,,,,,,,
"DIPPER",,,,,,,,"Object"
"DIRE",,,,,"Negativ","Weak",,
"DIRECT#1",,"Strong","Active",,,,,
"DIRECT#2",,"Strong","Active",,,,,
"DIRECT#3",,"Strong","Active",,,,,
"DIRECTION#1",,,,,,,,
"DIRECTION#2",,,,,,,,
"DIRECTOR",,"Strong",,"Role",,,,
"DIRT",,,,,"Negativ",,,"Object"
"DIRTY",,,,,"Negativ",,,
"DISABILITY",,,,,,,,
"DISABLE",,,"Active",,"Negativ",,,
"DISADVANTAGE",,,,,"Negativ","Weak",,
"DISADVANTAGEOUS",,,,,"Negativ","Weak",,
"DISAGREE",,,,,,,,
"DISAGREEABLE",,,,,"Negativ",,,
"DISAGREEMENT",,,,,"Negativ",,,
"DISAPPEAR",,,,,,,"Passive",
"DISAPPEARANCE",,,,,,,"Passive",
"DISAPPOINT#1",,,,,"Negativ",,"Passive",
"DISAPPOINT#2",,,,,"Negativ",,,
"DISAPPOINT#3",,,,,"Negativ",,,
"DISAPPOINT#4",,,,,"Negativ",,,
"DISAPPOINTMENT",,,,,"Negativ",,"Passive",
"DISAPPROVAL",,,,,"Negativ",,,
"DISAPPROVE",,,,,"Negativ",,,
"DISARM",,,"Active",,"Negativ",,,
"DISARMAMENT",,,"Active",,,,,
"DISASTER",,,,,"Negativ","Weak",,
"DISASTROUS",,,,,"Negativ","Weak",,
"DISAVOW",,,,,"Negativ",,,
"DISAVOWAL",,,,,"Negativ",,,
"DISBELIEF",,,,,"Negativ",,,
"DISC",,,,,,,,"Object"
"DISCARD#1",,,"Active",,,,,
"DISCARD#2",,,"Active",,,,,
"DISCERN","Positiv",,"Active",,,,,
"DISCERNIBLE",,,,,,,"Passive",
"DISCHARGE#1",,"Strong","Active",,"Negativ",,,
"DISCHARGE#2",,"Strong","Active",,"Negativ",,,
"DISCIPLE",,,,"Role",,,"Passive",
"DISCIPLINE#1",,"Strong",,,,,,
"DISCIPLINE#2",,"Strong","Active",,,,,
"DISCIPLINE#3",,,,,,,"Passive",
"DISCLAIM",,,,,"Negativ",,,
"DISCLOSE#1",,,,,,,,
"DISCLOSE#2",,,,,,,,
"DISCLOSURE",,,,,,,,
"DISCOMFORT",,,,,"Negativ",,,
"DISCONCERTED",,,,,"Negativ","Weak","Passive",
"DISCONTENT",,,,,"Negativ","Weak","Passive",
"DISCONTINUE#1",,,,,,,,
"DISCONTINUE#2",,,,,,,,
"DISCORD",,,,,"Negativ","Weak",,
"DISCORDANT",,,,,"Negativ",,,
"DISCOUNT#1",,,,,,,"Passive",
"DISCOUNT#2",,,,,,,"Passive",
"DISCOURAGE#1",,,,,"Negativ",,"Passive",
"DISCOURAGE#2",,,"Active",,"Negativ",,,
"DISCOURAGEMENT",,,,,"Negativ","Weak",,
"DISCOURSE",,,,,,,,
"DISCOVER",,,,,,,,
"DISCOVERY",,,,,,,,
"DISCREDIT",,,"Active",,"Negativ",,,
"DISCREET","Positiv",,,,,,,
"DISCREPANCY",,,,,,,,
"DISCREPANT",,,,,"Negativ",,,
"DISCRETION","Positiv",,,,,,,
"DISCRIMINATE",,,"Active",,"Negativ",,,
"DISCRIMINATION",,,,,,,,
"DISCRIMINATORY",,,,,,,,
"DISCUSS","Positiv",,,,,,,
"DISCUSSION",,,,,,,,
"DISDAIN",,,,,"Negativ",,,
"DISEASE",,,,,"Negativ",,,
"DISEASED",,,,,"Negativ","Weak",,
"DISGRACE",,,,,"Negativ","Weak",,
"DISGUISE",,,,,"Negativ",,,"Object"
"DISGUST#1",,,,,"Negativ","Weak","Passive",
"DISGUST#2",,,,,"Negativ",,,
"DISGUST#3",,,,,"Negativ","Weak",,
"DISGUST#4",,,,,"Negativ","Weak","Passive",
"DISGUST#5",,,,,"Negativ","Weak",,
"DISH#1",,,,,,,,"Object"
"DISH#2",,,,,,,,
"DISHEARTEN",,,,,"Negativ","Weak",,
"DISHONEST",,,,,"Negativ","Weak",,
"DISHONOR",,,"Active",,"Negativ","Weak",,
"DISILLUSION",,,,,,,,
"DISINGENUOUS",,,,,"Negativ","Weak",,
"DISINTEREST",,,,,"Negativ",,,
"DISLIKE#1",,,,,"Negativ",,"Passive",
"DISLIKE#2",,,,,"Negativ",,"Passive",
"DISMAL",,,,,"Negativ","Weak",,
"DISMAY",,,,,,,,
"DISMISS#1",,,"Active",,"Negativ",,,
"DISMISS#2",,,"Active",,"Negativ",,,
"DISOBEDIENCE",,,,,"Negativ",,,
"DISOBEDIENT",,,,,"Negativ",,,
"DISORDER",,,,,"Negativ","Weak",,
"DISORGANIZED",,,,,"Negativ","Weak","Passive",
"DISPEL",,,"Active",,"Negativ",,,
"DISPENSABILITY",,,,,"Negativ","Weak",,
"DISPENSE",,,"Active",,"Negativ",,,
"DISPERSE",,,"Active",,,,,
"DISPLACE",,,"Active",,"Negativ",,,
"DISPLACEMENT",,"Strong","Active",,,,,
"DISPLAY#1",,,,,,,,
"DISPLAY#2",,,,,,,,
"DISPLEASE",,,,,"Negativ","Weak","Passive",
"DISPLEASURE",,,,,"Negativ","Weak","Passive",
"DISPOSAL",,,,,"Negativ",,,
"DISPOSE#1",,"Strong","Active",,"Negativ",,,
"DISPOSE#2",,"Strong","Active",,"Negativ",,,
"DISPOSITION",,,,,,,"Passive",
"DISPROPORTIONATE",,,,,"Negativ",,,
"DISPROVE",,,"Active",,"Negativ",,,
"DISPUTABLE",,,,,"Negativ",,,
"DISPUTE#1",,,"Active",,"Negativ",,,
"DISPUTE#2",,,"Active",,"Negativ",,,
"DISREGARD",,,"Active",,"Negativ",,,
"DISRUPT",,,"Active",,"Negativ",,,
"DISRUPTION",,,,,"Negativ",,,
"DISRUPTIVE",,,,,,,,
"DISSATISFACTION",,,,,"Negativ",,,
"DISSATISFIED",,,,,"Negativ",,,
"DISSATISFY",,,,,"Negativ","Weak",,
"DISSEMINATION",,,,,,,,
"DISSENSION",,,,,,,,
"DISSENT",,,,,"Negativ",,,
"DISSENTION",,,,,"Negativ",,,
"DISSIMILAR",,,,,,,,
"DISSOLUTION",,,,,"Negativ",,,
"DISSOLVE#1",,"Strong","Active",,,,,
"DISSOLVE#2",,"Strong","Active",,,,,
"DISTANCE",,,,,,,,
"DISTANT",,,,,,,,
"DISTINCT","Positiv",,,,,,,
"DISTINCTION","Positiv",,,,,,,
"DISTINCTIVE","Positiv",,,,,,,
"DISTINGIUSH#1",,,,,,,,
"DISTINGIUSH#2",,,,,,,,
"DISTINGUISH#1","Positiv",,,,,,,
"DISTINGUISH#2","Positiv",,,,,,,
"DISTINGUISHED","Positiv","Strong",,,,,,
"DISTORT",,,,,"Negativ",,,
"DISTORTION",,,,,"Negativ",,,
"DISTRACT",,,"Active",,"Negativ",,,
"DISTRACTING",,,,,"Negativ",,,
"DISTRACTION",,,,,"Negativ",,,
"DISTRESS#1",,,,,"Negativ","Weak","Passive",
"DISTRESS#2",,,,,"Negativ","Weak","Passive",
"DISTRIBUTE",,,"Active",,,,,
"DISTRIBUTION",,,"Active",,,,,
"DISTRIBUTOR",,,,"Role",,,,
"DISTRICT",,,,,,,,
"DISTRUST",,,,,,,,
"DISTRUSTFUL",,,,,"Negativ",,,
"DISTURB#1",,,"Active",,"Negativ",,,
"DISTURB#2",,,"Active",,"Negativ",,,
"DISTURB#3",,,,,"Negativ",,"Passive",
"DISTURBANCE",,,"Active",,"Negativ",,,
"DISUNION",,,,,,,,
"DISUNITY",,,,,,,,
"DITCH#1",,,,,,,,
"DITCH#2",,,,,,,,
"DIURNAL",,,,,,,,
"DIVE",,,"Active",,,,,
"DIVER",,,"Active","Role",,,,
"DIVERSION",,,,,"Negativ",,,
"DIVERSITY",,,,,,,,
"DIVERT",,,"Active",,"Negativ",,,
"DIVIDE#1",,"Strong","Active",,"Negativ",,,
"DIVIDE#2",,,,,"Negativ","Weak","Passive",
"DIVINE#1","Positiv","Strong",,,,,,
"DIVINE#2","Positiv","Strong",,,,,,
"DIVINITY","Positiv","Strong",,,,,,
"DIVISION",,,,,"Negativ","Weak",,
"DIVORCE#1",,,,,"Negativ",,,
"DIVORCE#2",,,"Active",,"Negativ",,,
"DIVORCE#3",,,,,"Negativ",,,
"DIZZY",,,,,"Negativ",,,
"DO#1",,"Strong","Active",,,,,
"DO#2",,,,,,,,
"DO#3",,,,,,,,
"DO#4",,,,,,,,
"DOCTOR#1",,,,"Role",,,,
"DOCTOR#2",,,,,,,,
"DOCTOR#3",,,,,,,,
"DOCTRINE",,,,,,,,
"DOCUMENT",,,,,,,,"Object"
"DOER",,,"Active","Role",,,,
"DOG",,,,,,,,
"DOGMA",,,,,,,,
"DOGMATISM",,,,,,,,
"DOLDRUMS",,,,,"Negativ",,,
"DOLL",,,,,,,,"Object"
"DOLLAR",,,,,,,,"Object"
"DOLLY",,,,,,,,"Object"
"DOMAIN",,,,,,,,
"DOMESTIC",,,,,,,,
"DOMINANCE","Positiv",,,,,,,
"DOMINANT",,"Strong",,,,,,
"DOMINATE#1",,"Strong","Active",,"Negativ",,,
"DOMINATE#2",,"Strong","Active",,"Negativ",,,
"DOMINATE#3",,"Strong","Active",,"Negativ",,,
"DOMINATION",,"Strong","Active",,"Negativ",,,
"DOMINICAN",,,,,,,,
"DOMINICAN-REPUBLIC",,,,,,,,
"DOMINION",,,,,,,,
"DON'T",,,,,,,,
"DONATE","Positiv",,"Active",,,,,
"DONATION","Positiv",,,,,,,
"DONE",,"Strong",,,,,,
"DOOM#1",,,,,"Negativ","Weak","Passive",
"DOOM#2",,,,,"Negativ","Weak","Passive",
"DOOMSDAY",,,,,"Negativ",,,
"DOOR#1",,,,,,,,
"DOOR#2",,,,,,,,
"DOORWAY",,,,,,,,"Object"
"DOPE",,,,,"Negativ",,,
"DOTE","Positiv",,"Active",,,,,
"DOUBLE#1",,"Strong",,,,,,
"DOUBLE#2",,"Strong","Active",,,,,
"DOUBLE#3",,,,,"Negativ",,,
"DOUBLE#4",,,,,"Negativ",,,
"DOUBLE#5",,,,,,,,
"DOUBLE#6",,,,,,,,
"DOUBLE#7",,"Strong",,,,,,
"DOUBT#1",,,,,"Negativ",,"Passive",
"DOUBT#2",,,,,"Negativ",,"Passive",
"DOUBT#3",,,,,,,,
"DOUBT#4",,,,,"Negativ",,"Passive",
"DOUBTFUL",,,,,"Negativ","Weak",,
"DOUBTLESS","Positiv","Strong",,,,,,
"DOWN",,,,,,,,
"DOWNCAST",,,,,"Negativ",,,
"DOWNFALL",,,,,"Negativ",,,
"DOWNHEARTED",,,,,"Negativ",,,
"DOWNTOWN",,,,,,,,
"DOZEN",,,,,,,,
"DR",,,,"Role",,,,
"DR.",,,,,,,,
"DRAB",,,,,"Negativ",,,
"DRAFT#1",,,,,,,,
"DRAFT#2",,,,,,,,
"DRAG",,,"Active",,"Negativ",,,
"DRAIN#1",,,,,,,,"Object"
"DRAIN#2",,,,,,,,
"DRAMA",,,,,,,,
"DRAMATIC",,,,,,,,
"DRANK",,,"Active",,,,,
"DRASTIC",,,,,,,,
"DRAW#1",,,"Active",,,,,
"DRAW#2",,,,,,,,
"DRAW#3",,"Strong",,,,,,
"DRAW#4",,,,,,,,
"DRAW#5",,,,,,,,"Object"
"DRAWN#1",,,,,,,,
"DREAD",,,,,"Negativ",,"Passive",
"DREADFUL",,,,,"Negativ","Weak","Passive",
"DREAM#1",,,,,,,"Passive",
"DREAM#2",,,,,,,"Passive",
"DREAMER#1",,,,"Role",,,"Passive",
"DREAMER#2",,,,"Role",,,"Passive",
"DREAMLAND","Positiv",,,,,,,
"DREAMT",,,,,,,"Passive",
"DREARY",,,,,"Negativ",,,
"DRESS#1",,,,,,,,"Object"
"DRESS#2",,,"Active",,,,,
"DRESS#3",,,,,,,,"Object"
"DRESS#4",,,"Active",,,,,
"DRESSER",,,,,,,,"Object"
"DREW#1",,,,,,,,
"DRIFT#1",,,,,,,"Passive",
"DRIFT#2",,,,,,,"Passive",
"DRIFTER",,,,"Role",,,"Passive",
"DRILL#1",,,,,,,,"Object"
"DRILL#2",,,"Active",,,,,
"DRINK#1",,,,,,,,"Object"
"DRINK#2",,,"Active",,,,,
"DRINK#3",,,"Active",,,,,
"DRINK#4",,,,,,,,
"DRINKER",,,,"Role",,,,
"DRIP#1",,,,,,,,
"DRIP#2",,,,,,,,
"DRIVE#1",,,"Active",,,,,
"DRIVE#2",,"Strong","Active",,"Negativ",,,
"DRIVE#3",,,,,,,,
"DRIVE#4",,,"Active",,,,,
"DRIVE#5",,"Strong","Active",,,,,
"DRIVE#6",,,"Active",,,,,
"DRIVE-IN",,,,,,,,
"DRIVEN#1",,,,,,,,
"DRIVER",,,"Active","Role",,,,
"DRIVEWAY",,,,,,,,
"DRIZZLE#1",,,,,,,,
"DRIZZLE#2",,,,,,,,
"DROOP",,,,,"Negativ","Weak","Passive",
"DROP#1",,,,,"Negativ","Weak","Passive",
"DROP#2",,,,,,,,"Object"
"DROP#3",,,,,"Negativ","Weak","Passive",
"DROP#4",,,"Active",,"Negativ","Weak",,
"DROUGHT",,,,,"Negativ",,,
"DROVE#1",,,"Active",,,,,
"DROVE#2",,,,,,,,
"DROWN#1",,,,,"Negativ","Weak","Passive",
"DROWN#2",,,,,"Negativ","Weak","Passive",
"DROWSINESS",,,,,"Negativ",,"Passive",
"DROWSY",,,,,"Negativ",,"Passive",
"DRUG",,,,,,,,"Object"
"DRUM",,,,,,,,"Object"
"DRUNK#1",,,,,"Negativ","Weak","Passive",
"DRUNK#2",,,,"Role","Negativ","Weak","Passive",
"DRUNK#3",,,,,,,,
"DRUNKARD",,,,,"Negativ","Weak",,
"DRUNKEN",,,,,"Negativ","Weak","Passive",
"DRY#1",,,,,,,,
"DRY#2",,,,,,,,
"DRYER",,,,,,,,"Object"
"DUAL",,,,,,,,
"DUBIOUS",,,,,"Negativ",,,
"DUCT",,,,,,,,"Object"
"DUE#1",,,,,,,,
"DUE#2",,,,,,,,
"DUE#3",,,,,,,,
"DUE#4",,,,,,,,
"DUE#5",,,,,,,,
"DUE#6",,,,,,,,
"DUG#1",,,,,,,,
"DULL",,,,,"Negativ","Weak","Passive",
"DUMB",,,,,"Negativ","Weak","Passive",
"DUMP#1",,,,,"Negativ",,,
"DUMP#2",,,"Active",,"Negativ",,,
"DUNCE",,,,,"Negativ",,,
"DUNGEON",,,,,"Negativ",,,
"DUPLICATION",,,"Active",,,,,
"DURABILITY","Positiv","Strong",,,,,,
"DURABLE","Positiv","Strong",,,,,,
"DURATION",,,,,,,,
"DURING",,,,,,,,
"DUSK",,,,,,,,
"DUST",,,,,,,,"Object"
"DUSTY",,,,,,,,
"DUTY",,"Strong",,,"Negativ",,,
"DWELL",,,,,,,"Passive",
"DWELLING",,,,,,,,
"DWINDLE",,,,,"Negativ",,,
"DYING#1",,,,,"Negativ","Weak","Passive",
"DYING#2",,,,,"Negativ","Weak","Passive",
"DYNAMIC","Positiv","Strong","Active",,,,,
"DYNAMISM",,,,,,,,
"DYNASTY",,,,,,,,
"EACH#1",,,,,,,,
"EACH#2",,,,,,,,
"EACH#3",,,,,,,,
"EAGER","Positiv","Strong",,,,,,
"EAGERNESS","Positiv",,,,,,,
"EAGLE",,,,,,,,
"EAR#1",,,,,,,,
"EAR#2",,,,,,,,"Object"
"EAR#3",,,,,,,,
"EARLIEST",,,,,,,,
"EARLY#1",,,,,,,,
"EARLY#2",,,,,,,,
"EARLY#3",,,,,,,,
